,area_type,size,total_sqft,bath,balcony,price
0,0,2,1056,2,1,39.07
1,2,4,2600,5,3,120.0
2,1,3,1440,2,3,62.0
3,0,3,1521,3,1,95.0
4,0,2,1200,2,1,51.0
5,0,2,1170,2,1,38.0
8,0,3,1310,3,1,63.25
10,0,3,1800,2,2,70.0
11,2,4,2785,5,3,295.0
12,0,2,1000,2,1,38.0
13,1,2,1100,2,2,40.0
14,2,3,2250,3,2,148.0
15,0,2,1175,2,2,73.5
16,0,3,1180,3,2,48.0
17,0,3,1540,3,3,60.0
18,0,3,2770,4,2,290.0
19,0,2,1100,2,2,48.0
20,1,1,600,1,1,15.0
21,0,3,1755,3,1,122.0
22,2,4,2800,5,2,380.0
23,0,3,1767,3,1,103.0
24,0,1,510,1,0,25.25
25,0,3,1250,3,2,56.0
26,0,2,660,1,1,23.1
27,1,3,1610,3,2,81.0
28,0,2,1151,2,2,48.77
29,0,3,1025,2,1,47.0
31,0,3,1075,2,1,35.0
32,0,3,1760,2,2,123.0
33,0,3,1693,3,3,57.39
35,0,2,700,2,1,36.0
36,0,2,1070,2,1,45.5
37,0,3,1724,3,2,125.0
38,0,3,1290,2,2,56.12
39,1,2,1143,2,2,45.0
41,0,3,1254,3,2,38.0
42,0,1,600,1,0,38.0
43,2,1,660,1,0,48.0
46,0,2,970,2,0,33.0
47,0,2,1459,2,1,94.82
48,2,2,800,1,1,130.0
49,1,2,869,2,1,36.0
50,0,2,1270,2,1,50.0
51,0,3,1670,3,1,99.0
52,1,3,2010,3,2,91.0
53,0,2,1185,2,2,75.0
54,0,3,1600,2,3,75.0
55,0,2,1200,2,2,44.0
57,0,2,1500,2,2,185.0
59,0,2,840,2,2,45.0
60,2,3,4395,3,2,240.0
61,0,2,845,2,1,55.0
62,2,4,5700,5,3,650.0
63,1,2,1160,2,2,44.0
65,0,2,1100,2,1,62.0
66,0,2,1140,2,3,43.0
67,0,2,1220,2,1,57.0
69,0,2,1005,2,1,36.68
70,2,3,500,3,2,100.0
71,0,2,1358,2,1,80.58
72,0,3,1569,3,1,101.0
73,0,2,1240,2,1,70.0
74,0,3,2089,3,2,140.0
75,0,2,1206,2,1,48.23
76,0,2,1150,2,3,40.0
77,1,3,2511,3,3,205.0
78,1,2,460,1,0,22.0
80,0,3,1660,2,2,105.0
82,0,2,1326,2,2,78.0
83,0,3,1325,2,2,60.8
84,0,3,1499,5,2,102.0
86,0,3,1665,3,2,88.0
87,0,2,708,2,2,37.0
88,0,2,1060,2,2,58.06
90,1,2,1000,2,2,70.0
91,0,2,1000,2,1,28.88
92,0,3,1450,2,2,70.0
93,2,4,1200,4,2,155.0
94,0,2,1296,2,3,80.0
95,0,3,1540,3,2,90.0
96,2,4,2894,4,1,245.0
97,0,3,1330,2,1,48.0
98,1,2,1200,2,1,65.0
99,1,3,1200,3,1,90.0
100,0,3,2502,3,3,138.0
101,1,2,650,1,1,17.0
102,2,3,2400,2,1,150.0
103,0,2,1007,2,2,43.0
104,0,2,1200,2,2,50.0
105,0,2,966,2,2,49.9
106,1,3,1630,2,1,98.0
107,1,3,1640,3,2,229.0
108,1,2,782,2,2,55.68
109,0,2,1260,2,2,66.78
110,0,3,1800,3,3,120.0
111,0,3,1413,2,2,75.0
112,0,2,1116,2,1,51.91
113,0,3,1530,2,1,45.9
114,1,4,3700,4,1,225.0
115,1,3,2497,3,2,140.0
116,0,3,1540,2,3,64.0
117,0,3,1436,3,1,74.75
118,0,2,1100,2,2,75.0
119,2,2,276,3,3,23.0
120,0,3,1427,3,2,120.0
121,0,3,2061,3,1,200.0
123,1,4,2650,4,2,150.0
124,0,3,1282,2,2,68.52
125,1,2,1050,2,1,34.0
126,1,3,1600,3,2,65.0
127,0,2,945,2,1,54.0
128,0,2,1500,2,1,78.0
130,1,3,1870,3,3,110.0
131,2,3,1600,3,1,75.0
132,0,2,880,1,1,16.5
133,2,4,1200,4,0,210.0
134,0,3,1535,3,2,83.0
